2026-01-05 19:03:40 - INFO | Detected a flat data-structure in: /home/rflaherty/test_dicoms/20241022/91_0016_gremt-cs9-f100-fa25-1iso-ellip76-rr
2026-01-05 19:03:40 - INFO | Making temporary copy: /home/rflaherty/test_dicoms/20241022/91_0016_gremt-cs9-f100-fa25-1iso-ellip76-rr -> /tmp/tmpgsosrrb2/home/rflaherty/test_dicoms/20241022/91_0016_gremt-cs9-f100-fa25-1iso-ellip76-rr
2026-01-05 19:03:40 - INFO | >> Sorting: /tmp/tmpgsosrrb2/home/rflaherty/test_dicoms/20241022/91_0016_gremt-cs9-f100-fa25-1iso-ellip76-rr (3 files)
2026-01-05 19:03:40 - VERBOSE | [0%]   Creating:  /tmp/tmpgsosrrb2/home/rflaherty/test_dicoms/20241022/91_0016_gremt-cs9-f100-fa25-1iso-ellip76-rr/016-greMT_cs9_f100_FA25_1iso_ellip76_RR
2026-01-05 19:03:40 - VERBOSE | Executing plugin: dcm2niix2bids -> /tmp/tmpgsosrrb2/home/rflaherty/test_dicoms/20241022/91_0016_gremt-cs9-f100-fa25-1iso-ellip76-rr
2026-01-05 19:03:41 - INFO | Discovered sample: [DICOM] /tmp/tmpgsosrrb2/home/rflaherty/test_dicoms/20241022/91_0016_gremt-cs9-f100-fa25-1iso-ellip76-rr/016-greMT_cs9_f100_FA25_1iso_ellip76_RR/original-primary-m-none_e09_0001.dcm
2026-01-05 19:03:41 - VERBOSE | Executing plugin: events2bids -> /tmp/tmpgsosrrb2/home/rflaherty/test_dicoms/20241022/91_0016_gremt-cs9-f100-fa25-1iso-ellip76-rr
2026-01-05 19:03:41 - INFO | Mapping: /home/rflaherty/test_dicoms/20241022/91_0017_gremt-cs6-f100-fa25-1iso-ellip79-rr (subject 1/2)
2026-01-05 19:03:41 - INFO | Detected a flat data-structure in: /home/rflaherty/test_dicoms/20241022/91_0017_gremt-cs6-f100-fa25-1iso-ellip79-rr
2026-01-05 19:03:41 - INFO | Making temporary copy: /home/rflaherty/test_dicoms/20241022/91_0017_gremt-cs6-f100-fa25-1iso-ellip79-rr -> /tmp/tmpttwqpty5/home/rflaherty/test_dicoms/20241022/91_0017_gremt-cs6-f100-fa25-1iso-ellip79-rr
2026-01-05 19:03:41 - INFO | >> Sorting: /tmp/tmpttwqpty5/home/rflaherty/test_dicoms/20241022/91_0017_gremt-cs6-f100-fa25-1iso-ellip79-rr (3 files)
2026-01-05 19:03:41 - VERBOSE | [0%]   Creating:  /tmp/tmpttwqpty5/home/rflaherty/test_dicoms/20241022/91_0017_gremt-cs6-f100-fa25-1iso-ellip79-rr/017-greMT_cs6_f100_FA25_1iso_ellip79_RR
2026-01-05 19:03:41 - VERBOSE | Executing plugin: dcm2niix2bids -> /tmp/tmpttwqpty5/home/rflaherty/test_dicoms/20241022/91_0017_gremt-cs6-f100-fa25-1iso-ellip79-rr
2026-01-05 19:03:42 - INFO | Discovered sample: [DICOM] /tmp/tmpttwqpty5/home/rflaherty/test_dicoms/20241022/91_0017_gremt-cs6-f100-fa25-1iso-ellip79-rr/017-greMT_cs6_f100_FA25_1iso_ellip79_RR/original-primary-m-none_e09_0001.dcm
2026-01-05 19:03:42 - VERBOSE | Executing plugin: events2bids -> /tmp/tmpttwqpty5/home/rflaherty/test_dicoms/20241022/91_0017_gremt-cs6-f100-fa25-1iso-ellip79-rr
